Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Seychelles,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),0,5,5,4,5,5,5,4,4,4,4,5,4,5,4,5,4,5,5,5,5,7,5
Seychelles,Current Health Expenditure (CHE) per Capita in US$,0,354,384,368,429,486,500,513,451,390,330,472,484,600,583,650,624,736,737,785,770,782,718
Seychelles,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Seychelles,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Seychelles,Current Health Expenditure (CHE),Million NCU,162,183,166,194,226,236,247,267,331,408,527,562,783,680,812,824,985,"1,024","1,126","1,127","1,453","1,294"
Seychelles,Domestic General Government Health Expenditure (GGHE-D),Million NCU,133,137,139,158,176,183,193,211,220,275,364,380,584,513,563,595,681,748,826,826,"1,136",990
Seychelles,Domestic Private Health Expenditure (PVT-D),Million NCU,29,45,26,34,45,51,52,55,110,131,151,141,186,146,245,226,265,270,296,302,313,304
Seychelles,External Health Expenditure (EXT),Million NCU,0,0,1,2,6,2,2,1,2,2,12,42,14,21,4,3,39,6,4,0,5,0
Seychelles,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),0,100,100,99,99,97,99,99,99,100,100,98,93,98,97,100,100,96,99,100,100,100,100
Seychelles,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),0,82,75,84,81,78,78,78,79,66,67,69,68,75,75,69,72,69,73,73,73,78,77
Seychelles,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),0,18,25,16,18,20,22,21,20,33,32,29,25,24,21,30,27,27,26,26,27,22,23
Seychelles,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),0,18,25,16,18,20,22,21,20,33,32,24,25,20,20,30,27,25,25,25,25,20,22
Seychelles,Voluntary Prepayments as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Seychelles,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),0,0,0,1,1,3,1,1,1,0,0,2,7,2,3,0,0,4,1,0,0,0,0
Seychelles,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),0,4,4,4,4,4,4,3,3,2,2,3,3,4,3,3,3,3,3,4,3,5,4
Seychelles,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0,7,8,6,9,10,9,8,7,9,7,9,8,10,8,10,10,10,10,10,10,10,10
Seychelles,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,0,291,288,308,350,378,387,402,356,259,222,326,327,447,440,451,450,509,538,576,564,611,550
Seychelles,Domestic Private Health Expenditure (PVT-D) per Capita in US$,0,63,95,58,75,96,109,108,92,129,106,136,121,143,125,196,171,198,194,206,206,168,169
Seychelles,Out-of-Pocket Expenditure (OOPS) per Capita in US$,0,63,95,58,75,96,109,108,92,129,105,113,121,123,118,195,171,186,181,193,190,158,158
Seychelles,External Health Expenditure (EXT) per Capita in US$,0,0,1,3,4,12,3,4,2,2,1,11,36,10,18,3,2,29,4,3,0,2,0
Seychelles,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),0,82,75,84,81,78,78,79,79,66,68,71,75,75,75,69,72,72,73,73,73,78,77
Seychelles,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),0,82,75,84,81,78,78,79,79,66,68,71,75,75,75,69,72,72,73,73,73,78,77
Seychelles,Compulsory Health Insurance (CHI) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Social Health Insurance (SHI) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Compulsory Private Health Insurance (CHI-PVT) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),0,18,25,16,19,22,22,21,21,34,32,29,25,25,24,31,28,28,27,27,27,22,23
Seychelles,Voluntary Health Insurance (VHI) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Seychelles,Rest of the World (RoW) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seychelles,Primary Health Care (PHC) Expenditure per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,432,463,450,0,0
Seychelles,Primary Health Care (PHC) Expenditure as % Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,59,59,58,0,0
Seychelles,Domestic General Government Expenditure on PHC per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,287,312,301,0,0
Seychelles,Domestic General Government Expenditure on PHC as % GGHE-D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,53,54,53,0,0
Seychelles,Domestic General Government Expenditure on PHC as % PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,67,67,67,0,0
Seychelles,External Expenditure on PHC per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,3,0,0,0
Seychelles,External Expenditure on PHC as % EXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,93,92,0,0,0
Seychelles,External Expenditure on PHC as % PHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0
Seychelles,PHC (government and donors) as % of GDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0
Seychelles,Domestic Private Expenditure on PHC per Capita in US$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,140,148,149,0,0
