Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Kenya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),0,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5
Kenya,Current Health Expenditure (CHE) per Capita in US$,0,21,22,22,26,28,31,41,50,55,55,59,57,65,68,73,71,74,67,76,86,87,95
Kenya,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Kenya,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Current Health Expenditure (CHE),Million NCU,"50,303","55,315","57,650","65,929","76,443","84,325","109,366","129,018","150,221","172,618","193,858","216,539","239,220","261,902","294,949","327,996","361,044","338,146","382,862","447,260","479,674","550,182"
Kenya,Domestic General Government Health Expenditure (GGHE-D),Million NCU,"13,856","15,556","16,627","18,266","19,482","22,261","25,227","31,443","38,525","47,821","56,146","66,836","77,526","88,216","110,331","132,446","154,561","145,199","165,050","205,646","236,795","268,122"
Kenya,Domestic Private Health Expenditure (PVT-D),Million NCU,"29,464","31,906","31,991","36,667","41,416","46,202","51,108","58,664","66,363","74,170","81,872","92,705","103,538","114,371","125,571","136,771","147,971","121,643","132,990","158,827","160,274","180,673"
Kenya,External Health Expenditure (EXT),Million NCU,"6,982","7,853","9,032","10,995","15,544","15,862","33,031","38,910","45,334","50,627","55,841","56,999","58,156","59,314","59,047","58,779","58,511","71,304","84,823","82,788","82,605","101,386"
Kenya,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),0,86,86,84,83,80,81,70,70,70,71,71,74,76,77,80,82,84,79,78,81,83,82
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),0,28,28,29,28,25,26,23,24,26,28,29,31,32,34,37,40,43,43,43,46,49,49
Kenya,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),0,59,58,55,56,54,55,47,45,44,43,42,43,43,44,43,42,41,36,35,36,33,33
Kenya,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),0,47,46,44,45,44,45,38,36,33,32,30,31,32,32,29,27,25,23,23,24,23,23
Kenya,Voluntary Prepayments as % of Current Health Expenditure (CHE),0,4,4,4,4,4,4,4,5,5,6,7,7,8,9,9,10,11,12,9,10,9,9
Kenya,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),0,14,14,16,17,20,19,30,30,30,29,29,26,24,23,20,18,16,21,22,19,17,18
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Kenya,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),0,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,8,7,7,8,9,9
Kenya,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,0,6,6,6,7,7,8,9,12,14,15,17,18,21,23,27,29,32,29,33,40,43,46
Kenya,Domestic Private Health Expenditure (PVT-D) per Capita in US$,0,13,13,12,14,15,17,19,23,24,24,25,24,28,30,31,30,30,24,26,31,29,31
Kenya,Out-of-Pocket Expenditure (OOPS) per Capita in US$,0,10,10,10,12,12,14,16,18,19,17,18,18,20,22,21,19,19,16,18,21,20,22
Kenya,External Health Expenditure (EXT) per Capita in US$,0,3,3,3,4,6,6,12,15,17,16,17,15,16,15,15,13,12,14,17,16,15,17
Kenya,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92,89,90,91,91
Kenya,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),0,38,39,40,37,34,33,27,28,29,29,30,33,36,38,43,46,49,45,49,47,55,57
Kenya,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),0,34,35,36,33,31,30,24,25,25,25,25,29,31,34,37,39,41,34,36,34,40,43
Kenya,Compulsory Health Insurance (CHI) as % of Current Health Expenditure (CHE),0,4,4,4,4,3,3,2,3,4,4,5,5,5,5,6,7,8,10,12,14,15,15
Kenya,Social Health Insurance (SHI) as % of Current Health Expenditure (CHE),0,4,4,4,4,3,3,2,3,4,4,5,5,5,5,6,7,8,10,12,14,15,15
Kenya,Compulsory Private Health Insurance (CHI-PVT) as % of Current Health Expenditure (CHE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
