Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
South Africa,Current Health Expenditure (CHE),Million NCU,"77,265","83,053","90,863","104,939","114,653","126,058","141,491","162,039","186,688","213,742","238,142","264,312","285,464","313,484","325,392","356,008","384,553","405,093","432,606","462,801","476,372","512,311"
South Africa,Domestic General Government Health Expenditure (GGHE-D),Million NCU,"28,275","28,016","31,373","41,594","45,137","50,426","66,463","77,443","88,402","106,313","122,235","137,091","147,661","160,359","180,798","203,194","217,653","231,847","247,256","270,014","294,336","309,356"
South Africa,Domestic Private Health Expenditure (PVT-D),Million NCU,"48,492","54,506","58,906","57,524","63,266","60,775","65,931","72,770","83,230","90,130","97,708","108,464","118,866","131,995","138,960","146,857","159,039","168,845","180,432","187,590","175,688","195,669"
South Africa,External Health Expenditure (EXT),Million NCU,498,531,583,"5,821","6,249","14,857","9,097","11,826","15,055","17,299","18,200","18,756","18,937","21,131","5,635","5,958","7,860","4,401","4,919","5,198","6,348","7,286"
South Africa,Current health expenditure by revenues of health care financing schemes,Million NCU,"77,265","83,053","90,863","104,939","114,653","126,058","141,491","162,039","186,688","213,742","238,142","264,312","285,464","313,484","325,392","356,008","384,553","405,093","432,606","462,801","476,372","512,311"
South Africa,Transfers from government domestic revenue (allocated to health purposes),Million NCU,"28,275","28,016","31,373","41,594","45,137","50,426","66,463","77,443","88,402","106,313","122,235","137,091","147,661","160,359","180,798","203,194","217,653","231,847","247,256","270,014","294,336","309,356"
South Africa,Internal transfers and grants,Million NCU,"28,275","28,016","31,373","41,594","45,137","50,426","58,377","68,497","78,297","94,460","109,147","122,837","131,828","143,111","150,454","165,926","178,527","190,169","202,808","221,475","241,425","253,745"
South Africa,Transfers by government on behalf of specific groups,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Subsidies,Million NCU,0,0,0,0,0,0,"8,086","8,945","10,105","11,854","13,088","14,254","15,832","17,247","30,344","37,268","39,126","41,678","44,448","48,539","52,911","55,611"
South Africa,Voluntary prepayment,Million NCU,"36,634","42,044","45,786","43,744","48,805","45,598","49,995","56,027","65,574","71,550","77,324","86,517","95,234","106,420","118,653","124,428","134,644","142,929","152,748","158,521","147,546","164,735"
South Africa,Other domestic revenues n.e.c.,Million NCU,"11,858","12,462","13,120","13,780","14,462","15,177","15,937","16,743","17,657","18,580","20,384","21,948","23,632","25,574","20,307","22,429","24,395","25,916","27,684","29,069","28,142","30,934"
South Africa,Other revenues from households n.e.c.,Million NCU,"11,174","11,732","12,319","12,935","13,582","14,261","14,974","15,722","16,509","17,334","19,040","20,487","22,044","23,856","18,430","20,422","22,248","23,636","25,248","26,511","25,665","28,212"
South Africa,Other revenues from NPISH n.e.c.,Million NCU,684,730,801,845,880,916,963,"1,021","1,148","1,246","1,344","1,461","1,588","1,718","1,877","2,007","2,147","2,281","2,436","2,558","2,477","2,722"
South Africa,Direct foreign transfers,Million NCU,498,531,583,"5,821","6,249","14,857","9,097","11,826","15,055","17,299","18,200","18,756","18,937","21,131","5,635","5,958","7,860","4,401","4,919","5,198","6,348","7,286"
South Africa,Current health expenditure by financing schemes,Million NCU,"77,265","83,053","90,863","104,939","114,653","126,058","141,491","162,039","186,688","213,742","238,142","264,312","285,464","313,484","325,392","356,008","384,553","405,093","432,606","462,801","476,372","512,311"
South Africa,Government schemes and compulsory contributory health care financing schemes,Million NCU,"28,275","28,016","31,373","41,594","45,137","50,426","58,377","68,497","78,297","94,460","109,147","122,837","131,828","143,111","150,454","165,926","178,527","190,169","202,808","221,475","241,425","253,745"
South Africa,Government schemes,Million NCU,"28,275","28,016","31,373","41,594","45,137","50,426","58,377","68,497","78,297","94,460","109,147","122,837","131,828","143,111","150,454","165,926","178,527","190,169","202,808","221,475","241,425","253,745"
South Africa,Compulsory contributory health insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Social health insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Compulsory private insurance schemes,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Compulsory Medical Saving Accounts (CMSA),Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,Voluntary health care payment schemes,Million NCU,"37,816","43,304","47,171","50,410","55,934","61,371","68,140","77,819","91,882","101,949","109,955","120,988","131,592","146,516","156,509","169,660","183,778","191,288","204,551","214,816","209,282","230,355"
South Africa,Voluntary health insurance schemes,Million NCU,"36,634","42,044","45,786","48,949","54,413","59,495","65,725","74,118","86,853","95,851","104,371","115,866","126,213","138,830","148,997","161,696","173,771","184,607","197,196","207,060","200,457","220,346"
South Africa,NPISH financing schemes (including development agencies),Million NCU,"1,183","1,261","1,385","1,461","1,521","1,876","2,415","3,701","5,030","6,098","5,585","5,123","5,379","7,686","7,512","7,964","10,007","6,682","7,355","7,756","8,825","10,008"
South Africa,Household out-of-pocket payments (OOPS),Million NCU,"11,174","11,732","12,319","12,935","13,582","14,261","14,974","15,722","16,509","17,334","19,040","20,487","22,044","23,856","18,430","20,422","22,248","23,636","25,248","26,511","25,665","28,212"
South Africa,Current health expenditure by Health Care Functions,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"384,553","405,093","432,606","462,801",0,0
South Africa,Curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"252,118","267,220","284,863","304,729",0,0
South Africa,Inpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"132,410","140,818","150,072","160,044",0,0
South Africa,Day curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,309","1,391","1,482","1,554",0,0
South Africa,Outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"109,273","115,311","122,974","132,206",0,0
South Africa,General outpatient curative care,Million NCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"78,762","83,839","89,385","96,621",0,0
